objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
mccarville013,13.jpg,,Wiener Politische Blätter ,image/jpg,Newspaper published by Ernst Karl Winter,,,1933,yes,color image,By Ernst Karl Winter,"Vienna, Austria",48.2082,16.3719,,"McCarville, Mari",Peter Diem,,c110,13,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproductions are made available and future use should acknowledge this repository. For more information, please contact Mari McCarville at marimccarville@gmail.com. Mari McCarville is not liable for any violations of the law by users.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,ger,
mccarville014,14.jpeg,,Wiener Politische Blätter ,image/jpeg,Newspaper published by Ernst Karl Winter,,,1934,yes,color image,By Ernst Karl Winter,"Vienna, Austria",48.2082,16.3719,,"McCarville, Mari",Peter Diem,,c111,14,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproductions are made available and future use should acknowledge this repository. For more information, please contact Mari McCarville at marimccarville@gmail.com. Mari McCarville is not liable for any violations of the law by users.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,ger,
mccarville015,15.jpeg,,Wiener Politische Blätter ,image/jpeg,Newspaper published by Ernst Karl Winter,,,1935,yes,color image,By Ernst Karl Winter,"Vienna, Austria",48.2082,16.3719,,"McCarville, Mari",Peter Diem,,c112,15,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproductions are made available and future use should acknowledge this repository. For more information, please contact Mari McCarville at marimccarville@gmail.com. Mari McCarville is not liable for any violations of the law by users.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,ger,
mccarville016,16.pdf,,Letter ,letter/pdf,Letter from Ernst Karl Winter to his friend Viktor Matejka,,,1946,yes,multiple-page; letter,By Ernst Karl Winter,"Tenafly, NJ",40.9254,-73.9629,,"McCarville, Mari",Documentation Centre of Austrian Resistance,,c355,16,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproductions are made available and future use should acknowledge this repository. For more information, please contact Mari McCarville at marimccarville@gmail.com. Mari McCarville is not liable for any violations of the law by users.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,ger,
mccarville017,17.pdf,,Letter ,letter/pdf,Letter from Ernst Karl Winter to his son Ernst Florian Winter,,,1950,yes,multiple-page; letter,By Ernst Karl Winter,"Tenafly, NJ",40.9254,-73.9629,,"McCarville, Mari",Documentation Centre of Austrian Resistance,,c357,17,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproductions are made available and future use should acknowledge this repository. For more information, please contact Mari McCarville at marimccarville@gmail.com. Mari McCarville is not liable for any violations of the law by users.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,ger,
mccarville018,18.mp3,,Interview with Margaret Mueller Winter,audio/mp3,Interview with Margaret Mueller Winter at Scuola Vivante,,,2016,yes,interview recording,By Winter Family,"Sargans, Switzerland",47.0479,9.4406,,"McCarville, Mari",Veronika Mueller,,b51,18,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproductions are made available and future use should acknowledge this repository. For more information, please contact Mari McCarville at marimccarville@gmail.com. Mari McCarville is not liable for any violations of the law by users.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Audio,ger,
mccarville019,19.mp3,,Interview with Margaret Mueller Winter,audio/mp3,Interview with Margaret Mueller Winter at Scuola Vivante,,,2000,yes,interview recording,By Winter Family,"Sargans, Switzerland",47.0479,9.4406,,"McCarville, Mari",Veronika Mueller,,b52,19,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproductions are made available and future use should acknowledge this repository. For more information, please contact Mari McCarville at marimccarville@gmail.com. Mari McCarville is not liable for any violations of the law by users.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Audio,ger,
mccarville020,20.pdf,,Infographic About Winter Family,infographic/pdf,Infographic about winter family's escape to USA,,,2023,yes,single-page; biography,About Winter Family,"Vienna, Austria",48.2082,16.3719,,"McCarville, Mari","McCarville, Mari ",,Lesson 4,20,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproductions are made available and future use should acknowledge this repository. For more information, please contact Mari McCarville at marimccarville@gmail.com. Mari McCarville is not liable for any violations of the law by users.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,ger,
mccarville021,21.jpg,,Handwritten Manuscript,manuscript/jpg,"First page of 70-page handwritten manuscript titled ""Das orientalische Schisma""",,,1918,yes,color image,By Ernst Karl Winter,"Vienna, Austria",48.2082,16.3719,,"McCarville, Mari",Peter Diem,,c247,21,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproductions are made available and future use should acknowledge this repository. For more information, please contact Mari McCarville at marimccarville@gmail.com. Mari McCarville is not liable for any violations of the law by users.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,ger,
mccarville022,22.pdf,,Biography of Franz Svoboda ,biography/pdf,Biography of Franz Svoboda from family tree ,,,1950,yes,single-page; biography,About Winter Family,"Sargans, Switzerland",47.0479,9.4406,,"McCarville, Mari",Rudolph Winter,,b57,22,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproductions are made available and future use should acknowledge this repository. For more information, please contact Mari McCarville at marimccarville@gmail.com. Mari McCarville is not liable for any violations of the law by users.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,
